"iso3","round","economy_label","regionwb_raw","is_oic","pop_adult","n_total","n_unbanked_fin","n_asked","n_religion_dk_ref","relig_A_p","relig_A_n","relig_A_se","relig_A_deff","relig_B_p","relig_B_n","relig_B_se","relig_B_deff","relig_all_p","relig_all_n","relig_all_se","unbanked_fin_share","unbanked_fin_se","unbanked_answered_share","far_A_p","expensive_A_p","documentation_A_p","trust_A_p","money_A_p","family_A_p","no_need_A_p","account_fin_p","account_mob_p","anydigpayment_p","mobileowner_p","internet_access_p","internet_use_p","female_p","in_balanced_oic_frame","decomposition_check"
"MKD",2017,"Macedonia, FYR","Europe & Central Asia (excluding high income)",0,1731874,1008,167,179,6,0,161,0,1.2836315863083,0.00777612241644204,173,0.00756658422429217,1.28372819962129,0,1002,0,0.234312290989812,0.0159350226248294,0.227480724916906,0.0868515866223582,0.192101080911775,0.242380079403947,0.151252915846907,0.513695059585865,0.525576589809075,0.532025547763814,0.765687709010188,,0.0906024763459634,0.867563942168751,,,0.507567725790705,0,0
"MKD",2021,"North Macedonia","Europe & Central Asia (excluding high income)",0,1743577,1003,112,143,5,0.0351356218402828,109,0.0186398802262858,1.11711739792838,0.0425270568178282,138,0.018255961084338,1.12952709011827,0.00506742321789301,998,0.00247986265231068,0.147113087231829,0.0123372176801302,0.14422466296251,0.174086956106169,0.363144965083871,0.237652334489794,0.165811814134027,0.410182644581818,0.51474144688054,0.31307755453426,0.852886912768171,,0.743226138212801,0.945463044637016,0.887060186994428,,0.497375717768963,0,0.00506742321789301
"MKD",2024,"North Macedonia","Europe & Central Asia (excluding high income)",0,1515847,1000,99,99,99,,0,,,,0,,,0,901,0,0.157451351094653,0.0136232854878403,0,0.219090000954447,0.354623912916559,0.200300222388688,0.167575678249598,0.241646713393489,0.889206620274021,,0.842548648905347,,0.751870818534475,,,0.831857305029346,0.510685896590033,0,
"MLI",2011,"Mali","Sub-Saharan Africa",1,7646465,1000,891,875,0,0.0276137761394564,875,0.00618034358041995,1.24471147790831,0.0276137761394564,875,0.00618034358041995,1.24471147790831,0.0253010063426974,984,0.00562196012270003,0.917861465980567,0.00974594824050488,0.916245797565717,0.34601798860353,0.208889507849426,0.232641537679037,0.079335198932969,0.870301209670178,0.0171878828016579,,0.0821385340194332,,,,,,0.508542056397224,1,0.0253010063426974
"MLI",2014,"Mali","Sub-Saharan Africa",1,8049303,1000,855,882,3,0.0240740486245905,852,0.00633500149952488,1.45534862100711,0.0256513836437702,879,0.00642697198841482,1.4527019529708,0.0208752713697983,997,0.00546857821770494,0.867465947784375,0.0129487541008096,0.867127573567961,0.2170048842847,0.203389725667648,0.179590412172219,0.0987240288172644,0.829691183655677,0.0206339147505217,0.115631519865218,0.132534052215625,0.116424546327963,,,,,0.507967653308326,1,0.0208752713697983
"MLI",2017,"Mali","Sub-Saharan Africa (excluding high income)",1,9386639,1000,804,831,16,0.115202320369482,788,0.0139453989856675,1.50342893434265,0.119481983928574,815,0.0139287714022332,1.50294316891125,0.0937377495007446,984,0.0114541765230307,0.818460570295116,0.0150328151786427,0.81367935298616,0.224231942432026,0.259002954006626,0.264913477047224,0.182193704404883,0.767678497194062,0.0878170818989318,0.102426808334518,0.181539429704884,0.243976485830717,0.010132283026017,0.69615061975901,,,0.508512252516612,1,0.0937377495007446
"MLI",2021,"Mali","Sub-Saharan Africa (excluding high income)",1,10731464,1000,697,748,1,0.140527711888043,696,0.015163096463113,1.32492465546784,0.164249890077912,747,0.0156167246113158,1.3271468349952,0.100499280946289,999,0.0110407926177311,0.715570910362486,0.01655543742854,0.715156317540809,0.360978448150743,0.409703205372247,0.3648512069554,0.21072179120718,0.75735224192073,0.113380695037505,0.179190507778574,0.284429089637515,0.293780615039295,0.381351366717247,0.705906245827494,0.260877004515251,,0.514580746252921,1,0.100499280946289
"MLI",2024,"Mali","Sub-Saharan Africa (excluding high income)",1,12725942,1002,785,0,0,,0,,,,0,,,0,217,0,0.815524718791138,0.0158536771362939,0,,,,,,,,0.184475281208862,0.483876158762191,0.517679935172762,,,0.459851014444835,0.508043708031984,1,
"MLT",2011,"Malta","High Income",0,352533.5625,1004,42,41,5,0,36,0,1.25661247899522,0,36,0,1.25661247899522,0,998,0,0.0472992730264401,0.00755020671979271,0.0438944156886492,0.00960385216051379,0.0539543572278752,0.0262657444563349,0.101131426156461,0.398005094593709,0.337842789824251,,0.95270072697356,,,,,,0.519749595788549,0,0
"MLT",2014,"Malta",,0,361177.53125,1001,28,30,2,0.0866031252669736,26,0.062087234735042,1.26702416196637,0.0827520895744764,28,0.0587723736805538,1.27420350023203,0.00282058960662754,999,0.0021014934043992,0.0367200661016716,0.00744601337980481,0.0325691434106153,0.29528250200757,0.295766812228854,0.177433949918719,0.212639554598897,0.579580320325762,0.405865768232287,0.32613758654468,0.963279933898328,,,,,,0.51749018506117,0,0.00282058960662754
"MLT",2017,"Malta","High income: nonOECD",0,373991.15625,1003,22,24,1,0,21,0,1.58049272986602,0,23,0,1.57346891589526,0,1002,0,0.0263708966196403,0.00634275975105455,0.0254116773037322,0.387123204997205,0.0680767538567018,0.150781769767411,0.153857114802675,0.452151775749692,0.435985467075832,0.214115556232503,0.97362910338036,,,0.958861354628674,,,0.509168413654022,0,0
"MLT",2021,"Malta","High income",0,449781,1000,25,33,3,0.111973209314262,22,0.0726171828498918,1.16670559381731,0.1378890959964,30,0.0683795102992381,1.17999499380339,0.00347445319363266,997,0.00221539280341149,0.0355318894044796,0.00695725055121056,0.0310293258084738,0.337346026900541,0.470634027810977,0.331288398662005,0.208915008243332,0.367581130622502,0.588568652877392,0.508746851941893,0.96446811059552,,0.907323634886824,0.961278050841045,0.8914582248411,,0.499491710282281,0,0.00347445319363266
"MLT",2024,"Malta","High income",0,480050,1006,32,0,0,,0,,,,0,,,0,974,0,0.0344187046652341,0.00635987309498164,0,,,,,,,,0.965581295334766,,,,,0.927201519367224,0.482192530753451,0,
"MMR",2014,"Myanmar","East Asia & Pacific",0,39991952,1020,770,770,0,0.00153569607553417,770,0.00168346979098555,1.42319222632645,0.00153569607553417,770,0.00168346979098555,1.42319222632645,0.00118831543564425,1020,0.00128676395361821,0.773795970814674,0.0156262443174807,0.773795970814674,0.191510763596863,0.0477712262256142,0.14741863653269,0.0162549574360463,0.809279293418449,0.102522428772645,0.298546312838278,0.226204029185326,0.00163792061523534,,,,,0.519135230991352,0,0.00118831543564425
"MMR",2017,"Myanmar","East Asia & Pacific (excluding high income)",0,38409136,1600,1169,1198,61,0.0330463295731862,1108,0.00613207291835168,1.3038435574849,0.0328859928222509,1137,0.00603728549936132,1.30303254003124,0.024281404912238,1539,0.00446628940693633,0.743907555845024,0.0124243863805106,0.734768587793178,0.233468825032222,0.0988513267536251,0.333588312694016,0.0185061319579412,0.76742367925157,0.0890067048697245,0.311074577734615,0.256092444154976,0.00690499883319277,0.00280356764661302,0.737746810541804,,,0.531473813435067,0,0.024281404912238
